Avenger_id,Death,Death_Number,Returns,Return_Number
1,Yes,1,No,0
2,Yes,1,Yes,1
3,Yes,1,Yes,1
4,Yes,1,Yes,1
5,Yes,2,Yes,1
6,No,0,No,0
7,Yes,1,Yes,1
8,Yes,2,Yes,2
9,Yes,1,Yes,1
10,Yes,1,Yes,1
11,Yes,1,Yes,1
12,No,0,No,0
13,No,0,No,0
14,Yes,1,Yes,1
15,No,0,No,0
16,Yes,1,Yes,1
17,Yes,1,Yes,1
18,No,0,No,0
19,Yes,2,Yes,2
20,Yes,1,Yes,1
21,Yes,2,Yes,1
22,Yes,1,No,0
23,Yes,1,Yes,1
24,No,0,No,0
25,No,0,No,0
26,No,0,No,0
27,No,0,No,0
28,No,0,No,0
29,No,0,No,0
30,Yes,3,Yes,2
31,No,0,No,0
32,No,0,No,0
33,Yes,5,Yes,5
34,No,0,No,0
35,Yes,1,Yes,1
36,No,0,No,0
37,No,0,No,0
38,No,0,No,0
39,Yes,1,Yes,1
40,Yes,1,No,0
41,Yes,1,Yes,1
42,No,0,No,0
43,No,0,No,0
44,No,0,No,0
45,Yes,1,Yes,1
46,No,0,No,0
47,No,0,No,0
48,Yes,1,Yes,1
49,No,0,No,0
50,Yes,1,Yes,1
51,Yes,1,Yes,1
52,Yes,2,Yes,2
53,Yes,2,Yes,2
54,Yes,2,Yes,1
55,Yes,1,Yes,1
56,Yes,2,Yes,1
57,Yes,1,Yes,1
58,No,0,No,0
59,No,0,No,0
60,Yes,1,Yes,1
61,No,0,No,0
62,Yes,1,No,0
63,Yes,1,Yes,1
64,No,0,No,0
65,No,0,No,0
66,No,0,No,0
67,No,0,No,0
68,Yes,1,No,0
69,Yes,1,No,0
70,No,0,No,0
71,Yes,1,No,0
72,No,0,No,0
73,No,0,No,0
74,Yes,2,Yes,2
75,No,0,No,0
76,No,0,No,0
77,Yes,1,Yes,1
78,No,0,No,0
79,Yes,2,Yes,1
80,No,0,No,0
81,No,0,No,0
82,Yes,2,Yes,1
83,Yes,1,No,0
84,Yes,1,No,0
85,No,0,No,0
86,No,0,No,0
87,No,0,No,0
88,No,0,No,0
89,Yes,2,Yes,2
90,No,0,No,0
91,No,0,No,0
92,Yes,1,No,0
93,Yes,1,No,0
94,Yes,1,Yes,1
95,Yes,2,Yes,1
96,No,0,No,0
97,No,0,No,0
98,No,0,No,0
99,No,0,No,0
100,Yes,1,Yes,1
101,No,0,No,0
102,Yes,1,No,0
103,No,0,No,0
104,No,0,No,0
105,No,0,No,0
106,Yes,2,Yes,1
107,No,0,No,0
108,No,0,No,0
109,No,0,No,0
110,No,0,No,0
111,No,0,No,0
112,No,0,No,0
113,Yes,1,Yes,1
114,Yes,1,No,0
115,No,0,No,0
116,Yes,1,No,0
117,No,0,No,0
118,Yes,1,No,0
119,No,0,No,0
120,Yes,1,Yes,1
121,No,0,No,0
122,No,0,No,0
123,No,0,No,0
124,No,0,No,0
125,No,0,No,0
126,No,0,No,0
127,No,0,No,0
128,No,0,No,0
129,No,0,No,0
130,No,0,No,0
131,Yes,1,No,0
132,Yes,1,No,0
133,No,0,No,0
134,No,0,No,0
135,No,0,No,0
136,No,0,No,0
137,No,0,No,0
138,No,0,No,0
139,No,0,No,0
140,No,0,No,0
141,No,0,No,0
142,No,0,No,0
143,No,0,No,0
144,Yes,1,No,0
145,No,0,No,0
146,No,0,No,0
147,No,0,No,0
148,No,0,No,0
149,No,0,No,0
150,No,0,No,0
151,Yes,1,No,0
152,No,0,No,0
153,Yes,1,Yes,1
154,Yes,1,No,0
155,Yes,1,No,0
156,Yes,1,No,0
157,Yes,1,No,0
158,No,0,No,0
159,No,0,No,0
160,No,0,No,0
161,No,0,No,0
162,No,0,No,0
163,No,0,No,0
164,No,0,No,0
165,Yes,1,Yes,1
166,No,0,No,0
167,No,0,No,0
168,No,0,No,0
169,No,0,No,0
170,No,0,No,0
171,No,0,No,0
172,No,0,No,0
173,No,0,No,0